,,"23110000100100200001 Общий прирост постоянного населения","23110000100100200001 Общий прирост постоянного населения","23110000100100200001 Общий прирост постоянного населения","23110000100100200001 Общий прирост постоянного населения","23110000100100200001 Общий прирост постоянного населения","23110000100100200001 Общий прирост постоянного населения","23110000100100200001 Общий прирост постоянного населения"
,,"2016 г.","2017 г.","2018 г.","2019 г.","2020 г.","2021 г.","2022 г."
"все население",w2:p_mest:11,,,,,,,
"Ханты-Мансийский автономный округ - Югра (Тюменская область)",71100000000,"19323","8996","8721","10881","12978","14586","16590"
"Ямало-Ненецкий автономный округ (Тюменская область)",71140000000,"1945","2498","2932","2965","2566","5107","1143"
"Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа)",71001000000,"23277","20876","19916","18721","5973","8759","5822"
"Челябинская область",75000000000,"1607","-9287","-17283","-9384","-23559","-24204","-14411"
"Сибирский федеральный округ",035,"2165","-38722",,,,,
"Сибирский федеральный округ",041,,,"-56822","-54948","-114460","-114523","-112718"
"Республика Алтай",84000000000,"1846","1056","803","1315","773","605","-39"
"Республика Тыва",93000000000,"2913","3172","2701","2960","2985","2241","1020"
"Республика Хакасия",95000000000,"887","-155","-1346","-1905","-2226","-3698","-2755"
"Алтайский край",01000000000,"-11094","-15600","-17267","-15660","-20800","-28174","-23982"
"Красноярский край",04000000000,"8811","1196","-2471","-7771","-10356","-6730","-10781"
"Иркутская область",25000000000,"-3899","-4706","-6432","-6570","-16172","-17887","-19087"
"Кемеровская область - Кузбасс",32000000000,"-8783","-13967","-20621","-16402","-24408","-29174","-23775"
"Новосибирская область",50000000000,"17318","9294","4535","4786","-12334","-5544","-3226"
"Омская область",52000000000,"-5784","-12601","-15886","-17530","-22990","-24127","-19473"
"Томская область",69000000000,"2129","-611","-838","1829","-8932","-2035","-10620"
"Дальневосточный федеральный округ",036,"-12290","-17395",,,,,
"Дальневосточный федеральный округ",042,,,"-33978","-19420","-45150","-32809","-62711"
"Республика Бурятия",81000000000,"1850","377","-1238","2664","-506","-2802","-3323"
"Забайкальский край",76000000000,"-4029","-6177","-7021","-6085","-6215","-10018","-8091"
"Республика Саха (Якутия)",98000000000,"3146","1495","2679","4987","9975","10144","-268"
"Камчатский край",30000000000,"-1387","828","-834","-1707","-1349","1037","-3844"
"Приморский край",05000000000,"-5892","-10079","-10319","-6850","-18024","-14833","-21885"
"Хабаровский край",08000000000,"-1258","-4992","-6829","-5830","-14516","-2149","-8674"
"Амурская область",10000000000,"-3937","-3328","-5230","-3150","-8198","-9321","-7372"
"Магаданская область",44000000000,"-775","-1479","-2857","-1085","-1115","-1267","-1592"
"Сахалинская область",64000000000,"51","2837","-543","-1381","-2636","-1444","-5474"
"Еврейская автономная область",99000000000,"-1903","-2203","-2101","-1608","-1805","-2669","-2122"
"Чукотский автономный округ",77000000000,"-335","-474","315","625","-761","513","-66"
